,judge,charge_orc,counts,prior_cases,bond_amt,bond_type,race,year
303,COURT_D,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2009
304,MCCAFFERTY_BM,2913.02(A)(1),1,0,2500.0,CASH/SURETY/PROPERTY,WHITE,2009
305,RUSSO_MJ,2911.12(A)(4),1,12,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
310,CORRIGAN_PJ,2925.11(A),1,10,5000.0,PERSONAL,BLACK,2009
312,KOCH_JK,2925.11(A),1,10,,CASH/SURETY/PROPERTY,BLACK,2009
314,BURNSIDE_JR,2919.25(A),1,6,25000.0,CASH/SURETY/PROPERTY,BLACK,2009
317,RUSSO_JJ,2925.11(A),1,5,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
319,BURNSIDE_JR,2911.02(A)(3),1,2,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
320,RUSSO_JJ,2907.24(A),1,2,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
324,RUSSO_JJ,2903.11(A)(1),1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
325,RUSSO_JJ,2921.331(B),1,5,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
328,ROOM_A,2963.24,1,7,,CASH/SURETY/PROPERTY,BLACK,2009
333,SAFFOLD_SS,2921.34(A)(1),1,10,10000.0,CASH/SURETY/PROPERTY,OTHER,2009
337,MCMONAGLE_RJ,2911.02(A)(3),1,1,2500.0,PERSONAL,BLACK,2009
342,CORRIGAN_BJ,2925.11(A),1,7,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
343,FRIEDMAN_SA,2921.331(B),1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
347,ODONNELL_JP,2911.12(A)(3),1,1,15000.0,CASH/SURETY/PROPERTY,BLACK,2009
350,ROOM_A,2925.11,1,11,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
354,GAUL_D,2919.25(A),1,5,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
363,RUSSO_JJ,2925.31(A),1,15,2500.0,PERSONAL,WHITE,2009
366,FRIEDLAND_CB,2911.13(A),1,6,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
370,SHEEHAN_BJ,2921.331(B),1,2,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
378,FUERST_NA,2925.11(A),1,2,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
380,GAUL_D,2925.11(A),1,7,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
385,MCMONAGLE_RJ,2913.02(A)(1),1,0,2500.0,PERSONAL,BLACK,2009
386,RUSSO_MJ,2925.11(A),1,17,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
388,GALLAGHER_HL,2921.331(B),1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
392,MCMONAGLE_RJ,2911.02(A)(2),1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
404,RUSSO_JD,2925.11(A),1,5,1000.0,PERSONAL,WHITE,2009
407,Judge2_NO,2921.36,1,1,100000.0,CASH/SURETY/PROPERTY,BLACK,2009
408,FRIEDLAND_CB,2919.25(A),1,1,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
409,MCCAFFERTY_BM,2925.11(A),1,11,2500.0,CASH/SURETY/PROPERTY,OTHER,2009
411,MCMONAGLE_RJ,2919.25,1,0,2500.0,PERSONAL,WHITE,2009
414,RUSSO_JD,2913.02(A)(1),1,1,2500.0,CASH/SURETY/PROPERTY,WHITE,2009
415,MCMONAGLE_TE,2925.11(A),1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
416,VILLANUEVA_JA,2925.11(A),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
418,RUSSO_JJ,2925.11(A),1,0,1000.0,CASH/SURETY/PROPERTY,WHITE,2009
420,SAFFOLD_SS,2925.11(A),1,12,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
422,DONNELLY_MP,2925.11(A),1,4,1000.0,CASH/SURETY/PROPERTY,BLACK,2009
425,Judge2_NO,2903.11,1,9,,CASH/SURETY/PROPERTY,BLACK,2009
426,RUSSO_JJ,2925.11(A),1,2,1500.0,PERSONAL,WHITE,2009
429,MCGINTY_TJ,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2009
431,MCMONAGLE_TE,2950.06.F,1,22,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
432,ODONNELL_JP,2950.05.E(1),1,5,5000.0,CASH/SURETY/PROPERTY,OTHER,2009
435,CORRIGAN_BJ,2950.06.F,1,1,5000.0,PERSONAL,BLACK,2009
436,CORRIGAN_BJ,2913.02(A)(1),1,1,1000.0,PERSONAL,BLACK,2009
437,CALABRESE_DR,2913.51(A),1,3,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
438,Judge2_NO,2925.11,1,0,,CASH/SURETY/PROPERTY,WHITE,2009
444,MCGINTY_TJ,2919.21(B),1,6,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
452,MATIA_DT,2913.02(A)(1),1,0,15000.0,CASH/SURETY/PROPERTY,WHITE,2009
453,ROOM_A,2925.11,1,1,1000.0,CASH/SURETY/PROPERTY,WHITE,2009
454,ROOM_A,2925.11,1,9,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
458,DONNELLY_MP,2921.32(A)(2),1,1,1500.0,CASH/SURETY/PROPERTY,WHITE,2009
459,ROOM_A,2963.24,1,3,,CASH/SURETY/PROPERTY,BLACK,2009
460,RUSSO_MJ,2903.12(A)(1),1,1,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
462,MASON_L,2913.51(A),1,1,1000.0,PERSONAL,WHITE,2009
463,FRIEDLAND_CB,2913.02(A)(3),1,2,1000.0,PERSONAL,WHITE,2009
466,GALLAGHER_KA,2913.02(A)(1),1,0,1500.0,PERSONAL,BLACK,2009
481,RUSSO_NM,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2009
482,Judge2_NO,2903.11,1,0,25000.0,CASH/SURETY/PROPERTY,BLACK,2009
483,GALLAGHER_EA,2921.34(A)(1),1,6,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
484,RUSSO_JJ,2921.34(A)(1),1,4,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
485,SUSTER_R,2921.34(A)(1),1,2,10000.0,CASH/SURETY/PROPERTY,OTHER,2009
486,RUSSO_JJ,2921.34(A)(1),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
488,SUTULA_JD,2921.34(A)(1),1,7,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
489,FUERST_NA,2921.34(A)(1),1,10,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
490,ROOM_A,2923.12,1,2,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
494,MASON_L,2913.51(A),1,4,1000.0,CASH/SURETY/PROPERTY,BLACK,2009
497,TERRY_SJ,2925.23(B)(1),1,2,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
499,FUERST_NA,2950.06.F,1,3,1000.0,PERSONAL,BLACK,2009
500,SUTULA_KA,2919.25(A),1,3,50000.0,CASH/SURETY/PROPERTY,BLACK,2009
507,SAFFOLD_SS,2903.11(A)(1),1,8,50000.0,CASH/SURETY/PROPERTY,WHITE,2009
512,ROOM_A,2925.11,1,0,,CASH/SURETY/PROPERTY,WHITE,2009
513,ROOM_A,2925.03,1,6,,CASH/SURETY/PROPERTY,BLACK,2009
514,ROOM_A,2925.11,1,0,,CASH/SURETY/PROPERTY,WHITE,2009
515,ROOM_A,2925.23,1,4,,CASH/SURETY/PROPERTY,WHITE,2009
518,MCGINTY_TJ,2925.11(A),1,3,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
521,CORRIGAN_PJ,2921.331(B),1,4,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
522,DONNELLY_MP,2903.03(A),1,0,100000.0,CASH/SURETY/PROPERTY,BLACK,2009
526,GALLAGHER_ET,2925.11(A),1,12,1000.0,PERSONAL,BLACK,2009
527,SAFFOLD_SS,2913.03,1,0,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
530,TERRY_SJ,2903.13,1,0,5000.0,CASH/SURETY/PROPERTY,HISPANIC,2009
532,MCCAFFERTY_BM,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2009
537,ODONNELL_JP,2925.11(A),1,12,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
540,GALLAGHER_ET,2913.51(A),1,0,1000.0,CASH/SURETY/PROPERTY,WHITE,2009
541,DONNELLY_MP,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2009
545,ODONNELL_JP,2919.21(B),1,0,1000.0,PERSONAL,BLACK,2009
560,MATIA_DT,2903.11(A)(2),1,4,,CASH/SURETY/PROPERTY,OTHER,2009
562,RUSSO_JD,2911.12(A)(4),1,2,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
566,ROOM_A,2925.11,1,20,,CASH/SURETY/PROPERTY,BLACK,2009
568,SUSTER_R,2925.03(A)(2),1,2,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
570,KELLY_RP,2925.11(A),1,2,2000.0,CASH/SURETY/PROPERTY,BLACK,2009
573,SHEEHAN_BJ,2913.51(A),1,3,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
575,ROOM_A,2925.11(A),1,0,,PERSONAL,WHITE,2009
576,RUSSO_NM,2923.12(A)(2),1,0,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
577,GALLAGHER_HL,2923.12(A)(2),1,1,1000.0,CASH/SURETY/PROPERTY,BLACK,2009
584,MCGINTY_TJ,2925.11(A),1,19,1500.0,CASH/SURETY/PROPERTY,WHITE,2009
585,ROOM_A,2963.24,1,10,,CASH/SURETY/PROPERTY,BLACK,2009
586,ROOM_A,2963.24,1,5,,CASH/SURETY/PROPERTY,BLACK,2009
587,ROOM_A,2963.24,1,1,,CASH/SURETY/PROPERTY,BLACK,2009
588,DONNELLY_MP,2913.49(B)(2),1,1,5000.0,PERSONAL,WHITE,2009
590,GALLAGHER_HL,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2009
593,CORRIGAN_PJ,2923.12(A)(2),1,1,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
595,ROOM_A,2923.12,1,2,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
596,MCGINTY_TJ,2925.11(A),1,3,1000.0,PERSONAL,BLACK,2009
599,MASON_L,2925.11(A),1,1,1000.0,CASH/SURETY/PROPERTY,WHITE,2009
612,MCCORMICK_T,2921.12(A)(1),1,1,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
616,BURNSIDE_JR,2925.03(A)(2),1,9,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
617,Judge2_NO,2921.12,1,0,,PERSONAL,BLACK,2009
623,ROOM_A,2919.25,1,6,,CASH/SURETY/PROPERTY,BLACK,2009
629,SHEEHAN_BJ,2903.12,1,1,20000.0,CASH/SURETY/PROPERTY,WHITE,2009
630,FRIEDMAN_SA,2913.02(A)(1),1,8,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
632,SUSTER_R,2913.51(A),1,2,2500.0,PERSONAL,WHITE,2009
634,GAUL_D,2921.05(A),1,1,1000.0,PERSONAL,BLACK,2009
635,BURNSIDE_JR,2921.02(C),1,12,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
638,SUTULA_JD,2913.02(A)(1),1,1,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
639,MCCORMICK_T,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2009
641,BURNSIDE_JR,2925.11(A),1,12,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
642,RUSSO_JJ,2925.11(A),1,1,1000.0,PERSONAL,BLACK,2009
644,MCGINTY_TJ,2925.03(A)(1),1,3,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
645,AMBROSE_D,2903.13(C)(3),1,2,2500.0,PERSONAL,BLACK,2009
646,RUSSO_NM,2919.25(A),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
648,SHEEHAN_BJ,2925.11(A),1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
650,Judge2_NO,2913.51,1,0,,PERSONAL,BLACK,2009
651,ROOM_A,2963.24,1,1,,CASH/SURETY/PROPERTY,,2009
652,TERRY_SJ,2923.12(A)(1),1,3,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
653,ROOM_A,2925.11,1,1,,CASH/SURETY/PROPERTY,BLACK,2009
654,MASON_L,2925.22(A),1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
655,CORRIGAN_PJ,2925.11(A),1,15,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
656,SUTULA_KA,2903.211(A)(1),1,0,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
659,FRIEDLAND_CB,2911.13,1,9,2500.0,CASH/SURETY/PROPERTY,WHITE,2009
660,GAUL_D,2913.02(A)(2),1,0,1500.0,PERSONAL,BLACK,2009
661,MCCORMICK_T,2919.25(A),1,8,25000.0,CASH/SURETY/PROPERTY,BLACK,2009
664,ROOM_A,2913.02,1,0,1000.0,PERSONAL,WHITE,2009
668,GALLAGHER_ET,2925.11(A),1,1,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
669,ROOM_A,2925.11(A),1,0,,PERSONAL,BLACK,2009
670,ROOM_A,2925.11,1,3,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
672,CALABRESE_DR,2925.11(A),1,18,1000.0,PERSONAL,BLACK,2009
673,MCCORMICK_T,2911.13,1,1,1000.0,PERSONAL,BLACK,2009
675,SAFFOLD_SS,2925.11(A),1,0,10000.0,PERSONAL,BLACK,2009
676,SUTULA_KA,2925.03(A)(1),1,6,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
677,GALLAGHER_HL,2913.51(A),1,7,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
678,FRIEDLAND_CB,2913.02(A)(1),1,0,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
681,DONNELLY_MP,2903.12(A)(1),1,7,15000.0,CASH/SURETY/PROPERTY,BLACK,2009
682,Judge2_NO,2913.51,1,0,3500.0,CASH/SURETY/PROPERTY,BLACK,2009
685,SAFFOLD_SS,2919.25(A),1,0,1000.0,PERSONAL,WHITE,2009
686,ROOM_A,2963.24,1,0,,CASH/SURETY/PROPERTY,BLACK,2009
689,RUSSO_JJ,2913.02,1,0,2500.0,PERSONAL,WHITE,2009
690,RUSSO_JJ,2919.25(A),1,4,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
697,BARKER_PA,2919.21(B),1,0,1500.0,CASH/SURETY/PROPERTY,WHITE,2009
699,MCMONAGLE_TE,2925.11(A),1,0,1500.0,CASH/SURETY/PROPERTY,WHITE,2009
702,DONNELLY_MP,2911.12(A)(4),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
703,SUTULA_KA,2925.11(A),1,2,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
707,SHEEHAN_BJ,2913.51(A),1,1,1000.0,PERSONAL,BLACK,2009
708,RUSSO_JD,2919.25(A),1,8,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
709,GALLAGHER_ET,2925.11(A),1,4,1500.0,PERSONAL,WHITE,2009
710,TERRY_SJ,2925.11(A),1,6,1000.0,PERSONAL,WHITE,2009
713,ODONNELL_JP,2919.21(B),1,20,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
716,RUSSO_MJ,2903.13(A),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
717,BURNSIDE_JR,2925.11(A),1,0,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
719,FUERST_NA,2913.02(A)(1),1,2,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
720,RUSSO_MJ,2925.11(A),1,4,1000.0,PERSONAL,WHITE,2009
721,MCCORMICK_T,2903.211(A)(1),1,0,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
722,FRIEDLAND_CB,2913.02(A)(3),1,2,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
723,GALLAGHER_EA,2903.13,1,0,50000.0,CASH/SURETY/PROPERTY,WHITE,2009
724,ROOM_A,2963.24,1,1,,CASH/SURETY/PROPERTY,WHITE,2009
725,MCCORMICK_T,2913.02(A)(1),1,0,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
726,SUSTER_R,2911.13(B),1,1,1000.0,CASH/SURETY/PROPERTY,BLACK,2009
727,VILLANUEVA_JA,2921.34(A)(2),1,2,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
729,CALABRESE_DR,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2009
730,MCGINTY_TJ,2913.51(A),1,0,1000.0,PERSONAL,BLACK,2009
731,AMBROSE_D,2913.02(A)(1),1,0,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
733,MCMONAGLE_TE,2919.25(A),1,4,25000.0,CASH/SURETY/PROPERTY,BLACK,2009
734,FUERST_NA,2925.03(A)(2),1,0,1000.0,PERSONAL,BLACK,2009
736,ROOM_A,2925.11,1,0,,CASH/SURETY/PROPERTY,WHITE,2009
737,Judge2_NO,2913.02(A)(3),1,0,5000.0,PERSONAL,WHITE,2009
738,GALLAGHER_HL,2921.34(A)(1),1,5,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
739,MCMONAGLE_RJ,2921.34(A)(1),1,4,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
741,ODONNELL_JP,2950.06.F,1,3,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
742,FUERST_NA,2950.06.F,1,2,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
744,GAUL_D,2921.34(A)(1),1,5,1000.0,PERSONAL,BLACK,2009
746,Judge2_NO,2911.13,1,5,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
748,RUSSO_NM,2925.11(A),1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
750,ROOM_A,2925.11,1,0,,CASH/SURETY/PROPERTY,BLACK,2009
751,GALLAGHER_ET,2925.03(A)(2),1,0,25000.0,PERSONAL,WHITE,2009
752,SUSTER_R,2913.02(A)(1),1,0,1000.0,PERSONAL,BLACK,2009
753,ODONNELL_JP,2903.21,1,1,1000.0,PERSONAL,BLACK,2009
754,SHEEHAN_BJ,2903.11,1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
755,GALLAGHER_HL,2925.11(A),1,0,1000.0,CASH/SURETY/PROPERTY,HISPANIC,2009
758,DONNELLY_MP,2913.51(A),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
760,ROOM_A,2963.24,1,1,,CASH/SURETY/PROPERTY,BLACK,2009
